song,group,views,id
BTS (방탄소년단) 'Butter' Official MV,BTS,14.432482802673505,2bgTY4UwhfBYhGT4HUYStN
BTS (방탄소년단) 'Dynamite' Official MV,BTS,12.698985693694672,4saklk6nie3yiGePpBwUoc
BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,BLACKPINK,10.085984724761756,2J4P46vCFm1rPkNkp9pZWX
BTS (방탄소년단) 'Life Goes On' Official MV,BTS,8.2216336869215,249gnXrbfmV8NG6jTEMSwD
BLACKPINK – ‘Lovesick Girls’ M/V,BLACKPINK,7.679211184805703,4Ws314Ylb27BVsvlZOy30C
BTS (방탄소년단) 'FAKE LOVE' Official MV,BTS,6.714460568426271,3aW0ds4A4tSQDIp75FqWTo
TWICE Alcohol-Free M/V,TWICE,4.467753145559876,0BTaaKT4RMbs5M73tOHX5Y
TWICE I CAN'T STOP ME M/V,TWICE,4.093338279730252,37ZtpRBkHcaq6hHy0X98zn
TWICE What is Love? M/V,TWICE,3.782444923541206,3zhbXKFjUDw40pTYyCgt1Y
BTS (방탄소년단) 'Film out' Official MV,BTS,3.6320880916315126,3UHPGOkUcE4hE7sqBF4Snt
